,price,area_total,rooms,floor,distance,distance_metro,ceiling,district,stories,seller_0.0,seller_1.0,seller_2.0,seller_3.0,seller_nan,layout_1.0,layout_2.0,layout_nan,condition_0.0,condition_1.0,condition_2.0,condition_3.0,condition_nan,new_0.0,new_1.0,new_nan,material_0.0,material_1.0,material_2.0,material_3.0,material_4.0,material_5.0,material_6.0,material_nan,garbage_chute_0.0,garbage_chute_1.0,garbage_chute_nan,heating_0.0,heating_1.0,heating_2.0,heating_3.0,heating_nan
0,-0.2328126714848964,-0.0110956898362729,3,1,-0.3157486770346652,-0.38510827447779106,0.0,3,5,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,-0.31259395253025485,-0.5530976651764252,1,5,2.903550877604971,4.05928454484791,0.0,9,17,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2,-0.18912292234100964,0.0093572148935442,3,3,-0.0514693097476735,-0.1978001702225466,-0.0581680425802154,2,12,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
3,-0.2556073232121417,-0.2633481815040167,2,2,0.3047229907410197,-0.07233821116849194,0.0,3,7,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
4,-0.2556073232121417,-0.2633481815040167,2,2,0.3047229907410197,-0.07233821116849194,-0.0618708111020288,3,7,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
5,0.6523796372564616,0.6059002695132087,3,2,-1.385670311805331,-0.24087608583867232,0.002927638029707,0,7,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,0.6540892361360051,0.5939694084208155,3,2,-1.385670311805331,-0.24087608583867232,0.0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
7,-0.353434370208236,-0.6621798237354496,1,12,-0.8803030553678174,-0.26394607906714257,0.0,4,17,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
8,-0.28941938994088884,-0.1883541974946875,2,2,0.8541697263505406,-0.3656055754034081,-0.0489111212756816,4,17,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
9,-0.3372881585681039,-0.6212740142758155,1,11,0.8541697263505406,-0.3656055754034081,0.0,4,17,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
10,-0.3335080454900024,-0.6212740142758155,1,6,0.8541697263505406,-0.3656055754034081,-0.0489111212756816,4,17,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
11,-0.2897993008030096,-0.1781277451297789,2,3,0.8541697263505406,-0.3656055754034081,0.0,4,17,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
12,-0.27840197493938695,-0.3656127051531021,2,4,-0.6023906088916514,-0.3417332205587756,0.0,3,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13,-0.2755526434734813,-0.6911547721026905,1,41,-0.5793706558465356,-0.26137125311423165,0.0,8,53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
14,-0.2973975180454247,-0.5360535779015777,2,6,0.2203270878323928,0.08562917823789225,-0.0581680425802154,2,12,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
15,-0.32401027393698356,-0.6263872404582698,1,15,0.20958589680302822,0.39732290279380295,0.0,2,16,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
16,-0.3127839079613152,-0.757626712474596,1,4,-0.43040622670136525,-0.3477048038762759,-0.0729791166674693,8,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17,-0.3230415012385756,-0.5871858397261204,1,13,0.39707125796041215,0.2789787579374804,-0.0581680425802154,2,17,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
18,-0.3353886042575001,0.0093572148935442,3,1,4.949506660651702,8.068788981158445,-0.0433569684929615,10,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
19,-0.07704921801538703,-0.0758632214806935,2,29,-0.8461184220921399,-0.25531859492959297,0.0,2,47,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
20,-0.13023673871229266,-0.1764233364022943,2,34,-0.8461184220921399,-0.25531859492959297,0.0,2,47,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
21,-0.3410872671893115,-0.8939794106733765,1,15,-0.8461184220921399,-0.25531859492959297,0.0,2,47,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
22,-0.07704921801538703,-0.0758632214806935,2,29,-0.8461184220921399,-0.25531859492959297,-0.0479854291452283,2,47,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
