id,price_prediction
23285,15009306.098183226
23286,19380250.686945498
23287,7302799.678899134
23288,11821662.781225283
23289,8568355.459940724
23290,8678112.721117081
23291,8866857.771868682
23292,13105413.271247389
23293,8622102.423224209
23294,10949295.127807114
23295,9861034.741211329
23296,8465837.045975307
23297,8858982.289966865
23298,10352691.82507292
23299,12890967.11026738
23300,10675815.024133869
23301,11581113.8392068
23302,7253417.618862607
23303,10623385.111196242
23304,9257539.993246488
23305,7596068.519042853
23306,8256200.681194149
23307,8922316.491324138
23308,8709335.374759242
23309,9105474.716321275
23310,9995971.828280566
23311,8795631.875028573
23312,11728692.797604835
23313,9078206.625646172
23314,9786040.283877838
23315,10158361.572726538
23316,12300498.50715908
23317,14610051.14827869
23318,11900114.772618206
23319,13729092.69833048
23320,12318598.14392
23321,17921156.801259592
23322,16005435.987106986
23323,19260763.153188262
23324,18189646.545389067
23325,20989350.389497012
23326,27579111.123134457
23327,34134238.92817064
23328,36537857.903880514
23329,21329957.168641962
23330,7703690.840387549
23331,19437301.127368703
23332,11732996.38351244
23333,7950674.670043489
23334,7626748.72348476
23335,6542101.850489121
23336,7475062.578060465
23337,7494001.14451962
23338,7501058.369490217
23339,7930108.409578793
23340,7447561.608506627
23341,8184620.37132371
23342,7031257.256705973
23343,7199192.588082029
23344,7288111.348709585
23345,7155805.982785992
23346,6795605.098741544
23347,7731166.747270213
23348,6994694.07694741
23349,7399033.870814459
23350,7620336.730029544
23351,8809804.4666518
23352,6687661.911366738
23353,7571252.026154621
23354,8982023.343726449
23355,7637844.832410034
23356,8419138.493117165
23357,85799109.91189498
23358,8656593.896214271
23359,7515528.722692031
23360,6889672.267545873
23361,8813918.586193759
23362,9356722.261410203
23363,8210883.74465505
23364,6932748.966724297
23365,7013665.7041552905
23366,7022417.71593521
23367,6284529.872186508
23368,8747955.810947672
23369,7218401.389728388
23370,7184438.917209394
23371,7115204.576896848
23372,9331773.950723788
23373,7644890.056405844
23374,8870106.216163319
23375,7947716.176034857
23376,7267160.636241935
23377,7070251.572364816
23378,7275859.656306248
23379,9295186.456182692
23380,7772825.239292603
23381,7648093.243761862
23382,7228751.171442216
23383,7747997.755265584
23384,7577097.750965683
23385,7614333.547914427
23386,7565071.687312413
23387,6967200.156875882
23388,10274842.153153438
23389,9066705.09483316
23390,10027056.341692759
23391,7947607.079412304
23392,7362100.837878242
23393,10557164.857704347
23394,8986241.879573304
23395,7372329.719685109
23396,9830236.033680044
23397,7443123.5375453215
23398,8575541.891708799
23399,8187385.89804345
23400,8438141.902980445
23401,9289094.389501331
23402,8144235.183070423
23403,7530784.945078317
23404,9196201.767601607
23405,7860118.834549334
23406,8934267.898255039
23407,9554098.14391823
23408,8778737.831610423
23409,9232392.200241076
23410,9013854.25064152
23411,12320168.174938004
23412,13052642.82324747
23413,8814047.618235152
23414,11150896.10315005
23415,9792826.856702719
23416,20357120.10779076
23417,11231589.256143508
23418,9671734.720246736
23419,10308824.037926551
23420,14456176.40003545
23421,11364371.897636224
23422,9594154.51383627
23423,13395143.28530831
23424,10812699.379383245
23425,11131336.608173635
23426,9931829.177458998
23427,16478414.566140726
23428,9974139.668550313
23429,14590784.360781968
23430,11746535.78663475
23431,19963061.161360793
23432,12768729.041057985
23433,12382693.533059044
23434,11820118.426622745
23435,16832235.855156798
23436,11782140.073390195
23437,11708935.514843443
23438,10935136.439289456
23439,12846113.469043676
23440,12565978.612750929
23441,13945420.268924061
23442,11288697.91301384
23443,10930611.955195418
23444,14035939.789161252
23445,11340499.940127289
23446,13567229.531453947
23447,11130338.708180282
23448,14777306.519418845
23449,14936791.381124463
23450,11741466.883413382
23451,18355029.62459435
23452,14009355.064355383
23453,14064447.663669704
23454,16148366.013300741
23455,13585756.885122601
23456,13586196.038517814
23457,10733114.250341823
23458,9202819.109228719
23459,11939579.675966179
23460,17066993.22317686
23461,14544644.016092226
23462,11751552.758351628
23463,15935720.032011064
23464,16775140.23007979
23465,15590711.079353755
23466,18528075.44811347
23467,17263162.88532964
23468,18287344.09566041
23469,38257297.13338969
23470,39788053.93817146
23471,52211427.26094262
23472,44208010.83130927
23473,11104949.166491788
23474,14896433.810090035
23475,24799124.624839474
23476,9471756.253805825
23477,8470218.142968412
23478,21780054.60442314
23479,20354083.036680795
23480,28762018.417718194
23481,27590182.145241797
23482,15039254.213372212
23483,28155074.848952547
23484,156674810.0796814
23485,13511533.145287609
23486,21240154.252840213
23487,20606339.696953133
23488,48887730.810349286
23489,11139649.926709842
23490,12116556.393943345
23491,39340571.113607906
23492,56466898.67649287
23493,56466898.67649287
23494,25127835.1846098
23495,94863006.39817198
23496,39298210.64325638
23497,16466868.777634494
23498,39333303.491230264
23499,16331618.758468444
23500,16232164.693919025
23501,16256607.273487601
23502,16624311.846780155
23503,16057805.15299839
23504,15341305.189960063
23505,17536800.036780052
23506,17262241.818255655
23507,22280107.111670613
23508,18323673.408823125
23509,18900657.149783958
23510,20092921.319077216
23511,18283232.709794372
23512,18385968.13387002
23513,17201319.628442563
23514,23963366.71635374
23515,17909228.24151487
23516,23121998.932604183
23517,21385876.26666212
23518,29785884.47352552
23519,31711852.085385285
23520,51047075.58460927
23521,40248072.79363972
23522,40190294.957919255
23523,34831663.474899285
23524,31074204.78380333
23525,92729154.97223674
23526,99684200.00554457
23527,127945099.77864821
23528,16768116.052723465
23529,17784445.977117732
23530,7736770.335777916
23531,14588861.394393422
23532,14392745.183154976
23533,91498402.11223844
23534,9607321.682039913
23535,9622198.56578437
23536,9245328.031227253
23537,11318764.892670887
23538,7649587.782929545
23539,11558746.508678528
23540,11573401.951471653
23541,11798580.967848768
23542,14614273.956741493
23543,7963768.902330589
23544,13494257.78401787
23545,9156516.114542073
23546,15132157.67098286
23547,8720900.117368534
23548,13948405.78036081
23549,9795149.991445964
23550,14630123.251782885
23551,13288469.144436121
23552,9946049.419499544
23553,14821369.987380583
23554,10996921.17556293
23555,9659784.243824765
23556,11149068.401176512
23557,10466718.109399457
23558,9965145.111184856
23559,11877198.271135896
23560,17309127.321548305
23561,13787042.234728603
23562,13870474.494188461
23563,13870474.494188461
23564,16175133.944545418
23565,13935237.338141866
23566,9369225.846044168
23567,14536108.242134793
23568,23045632.83791915
23569,15067445.442793071
23570,15067445.442793071
23571,14964227.962652732
23572,14218566.001589661
23573,14189396.147095742
23574,18833926.036978688
23575,14506728.416790998
23576,20592057.86300815
23577,21243540.060958695
23578,29131143.30308027
23579,18603728.586165287
23580,27207305.845364787
23581,14833163.938587617
23582,21093514.932214037
23583,16038401.357917454
23584,14932482.20396451
23585,14770875.21257195
23586,16027556.164522277
23587,13650495.01029163
23588,15511802.769191427
23589,18055511.648652196
23590,17060913.244683836
23591,21142512.239201717
23592,23302642.115319114
23593,13598630.031666974
23594,31650926.862643465
23595,21818534.931910623
23596,26693614.342983317
23597,18274965.376113396
23598,15718662.691901682
23599,18532130.711915433
23600,27037409.019850362
23601,19514882.18256642
23602,21385100.306488212
23603,15382920.244772347
23604,29899558.96698878
23605,19865150.145508435
23606,20697818.488737173
23607,20272414.07083446
23608,29636482.76496916
